YEAR,geo_id,metric_value
2010,01,177889
2010,02,33302
2010,04,288252
2010,56,24325
2010,05,115872
2010,06,1542223
2010,08,261861
2010,09,154724
2010,10,39352
2010,11,56452
2010,12,960723
2010,13,402512
2010,15,56389
2010,16,61711
2010,17,540300
2010,18,272972
2010,19,122688
2010,20,120282
2010,21,165853
2010,22,185544
2010,23,50855
2010,24,243562
2010,25,323815
2010,26,393200
2010,27,262392
2010,28,95894
2010,29,256248
2010,30,43438
2010,31,79807
2010,32,138995
2010,33,66936
2010,34,395988
2010,35,68495
2010,36,862690
2010,37,383430
2010,38,34713
2010,39,462163
2010,40,139007
2010,41,155467
2010,42,540978
2010,44,42567
2010,45,177631
2010,46,37239
2010,47,268525
2010,48,1199389
2010,49,128667
2010,50,26414
2010,51,369003
2010,53,277165
2010,54,64255
2010,55,232898
2011,01,210931
2011,02,31712
2011,04,323104
2011,56,29599
2011,05,123603
2011,06,1734287
2011,08,275649
2011,09,160552
2011,10,42620
2011,11,59770
2011,12,1054700
2011,13,446614
2011,15,58174
2011,16,60522
2011,17,618882
2011,18,292362
2011,19,134570
2011,20,132890
2011,21,173586
2011,22,208627
2011,23,53109
2011,24,272988
2011,25,333957
2011,26,477472
2011,27,273310
2011,28,107582
2011,29,251491
2011,30,40953
2011,31,84484
2011,32,131751
2011,33,57221
2011,34,421265
2011,35,70109
2011,36,941993
2011,37,424469
2011,38,42414
2011,39,543589
2011,40,163959
2011,41,167334
2011,42,612500
2011,44,49053
2011,45,205707
2011,46,34804
2011,47,291366
2011,48,1309555
2011,49,137863
2011,50,27102
2011,51,397777
2011,53,306946
2011,54,69222
2011,55,253908
2012,01,205162
2012,02,37282
2012,05,116848
2012,06,1863421
2012,08,293295
2012,09,182782
2012,11,65028
2012,13,473167
2012,15,58599
2012,16,71062
2012,17,663232
2012,19,148962
2012,20,144992
2012,21,197788
2012,22,223456
2012,24,283377
2012,25,358424
2012,26,470099
2012,27,309520
2012,28,101572
2012,29,288164
2012,31,93529
2012,32,143225
2012,33,61497
2012,34,458994
2012,36,968972
2012,38,55272
2012,39,591059
2012,40,181371
2012,41,177395
2012,44,46744
2012,55,266127
2012,47,310490
2012,04,319409
2012,10,48218
2012,12,1124811
2012,18,337221
2012,23,56652
2012,30,44611
2012,35,75540
2012,37,443192
2012,42,630756
2012,45,204575
2012,46,42377
2012,49,157122
2012,51,437803
2012,53,308820
2012,54,73335
2012,50,36624
2012,56,32302
2012,48,1452323
2013,01,194114
2013,02,34459
2013,04,310350
2013,56,28628
2013,05,116623
2013,06,1969673
2013,08,300099
2013,09,159802
2013,10,52710
2013,11,56451
2013,12,1071981
2013,13,467785
2013,15,61615
2013,16,73299
2013,17,634066
2013,18,301348
2013,19,136246
2013,20,139863
2013,21,193392
2013,22,240831
2013,23,54168
2013,24,284851
2013,25,348185
2013,26,436399
2013,27,301155
2013,28,97393
2013,29,278657
2013,30,49041
2013,31,87937
2013,32,162510
2013,33,62264
2013,34,460839
2013,35,79414
2013,36,978350
2013,37,441142
2013,38,52402
2013,39,543405
2013,40,175392
2013,41,183878
2013,42,587324
2013,44,45314
2013,45,193986
2013,46,40460
2013,47,313735
2013,48,1451040
2013,49,159255
2013,50,28207
2013,51,411182
2013,53,348593
2013,54,65765
2013,55,257412
2014,01,190219
2014,02,37109
2014,04,340008
2014,56,30760
2014,05,113948
2014,06,1985662
2014,08,316300
2014,09,168578
2014,10,54596
2014,11,60131
2014,12,1137179
2014,13,471252
2014,15,63086
2014,16,77385
2014,17,673604
2014,18,309258
2014,19,124533
2014,20,147637
2014,21,198735
2014,22,212152
2014,23,56161
2014,24,260057
2014,25,336345
2014,26,440035
2014,27,286728
2014,28,99071
2014,29,284925
2014,30,48606
2014,31,86326
2014,32,151490
2014,33,64780
2014,34,437928
2014,35,87642
2014,36,1017254
2014,37,418341
2014,38,53427
2014,39,524468
2014,40,179145
2014,41,186125
2014,42,579902
2014,44,51062
2014,45,200189
2014,46,38598
2014,47,297859
2014,48,1454276
2014,49,167093
2014,50,28034
2014,51,389869
2014,53,322555
2014,54,63827
2014,55,259296
2015,01,199131
2015,02,36225
2015,04,332213
2015,56,29199
2015,05,120146
2015,06,2026439
2015,08,333311
2015,09,176554
2015,10,52655
2015,11,73887
2015,12,1167509
2015,13,528544
2015,15,55133
2015,16,73481
2015,17,710532
2015,18,330885
2015,19,143775
2015,20,149956
2015,21,194604
2015,22,225418
2015,23,58176
2015,24,268862
2015,25,373362
2015,26,483074
2015,27,298713
2015,28,109136
2015,29,310920
2015,30,48488
2015,31,91470
2015,32,165994
2015,33,65830
2015,34,472027
2015,35,77722
2015,36,1030162
2015,37,462884
2015,38,46374
2015,39,559934
2015,40,173101
2015,41,202309
2015,42,607612
2015,44,46137
2015,45,212947
2015,46,37030
2015,47,310515
2015,48,1503865
2015,49,182734
2015,50,28246
2015,51,410091
2015,53,346146
2015,54,61945
2015,55,274256
2016,01,199540
2016,02,34712
2016,04,371685
2016,05,123840
2016,06,2023790
2016,08,319340
2016,09,186082
2016,10,52769
2016,11,64956
2016,12,1140412
2016,13,501835
2016,15,58251
2016,16,75550
2016,17,654930
2016,18,324365
2016,19,137249
2016,20,132269
2016,21,189735
2016,22,197316
2016,23,56988
2016,24,270826
2016,25,369712
2016,26,461613
2016,27,314602
2016,28,108588
2016,29,298253
2016,30,44202
2016,31,88747
2016,32,158665
2016,33,66189
2016,34,476120
2016,35,75769
2016,36,1019570
2016,37,477071
2016,38,34303
2016,39,550629
2016,40,163999
2016,41,197742
2016,42,605303
2016,44,50413
2016,45,226601
2016,46,36024
2016,47,323450
2016,48,1448765
2016,49,172159
2016,50,26362
2016,51,410594
2016,53,347686
2016,54,61264
2016,55,276327
2016,56,23783
2017,01,221624
2017,02,34183
2017,04,359950
2017,56,25975
2017,05,136059
2017,06,2161269
2017,08,345444
2017,09,189188
2017,10,54638
2017,11,64115
2017,12,1190490
2017,13,552669
2017,15,71689
2017,16,80454
2017,17,660962
2017,18,350408
2017,19,152711
2017,20,150212
2017,21,208464
2017,22,213432
2017,23,59266
2017,24,315559
2017,25,404422
2017,26,480220
2017,27,330302
2017,28,108105
2017,29,323783
2017,30,49001
2017,31,99036
2017,32,170103
2017,33,69786
2017,34,510491
2017,35,76187
2017,36,1077076
2017,37,489680
2017,38,41378
2017,39,600523
2017,40,175219
2017,41,219394
2017,42,655763
2017,44,52019
2017,45,232625
2017,46,40864
2017,47,345046
2017,48,1582934
2017,49,182415
2017,50,28639
2017,51,420758
2017,53,374263
2017,54,60897
2017,55,302753
2018,01,208345
2018,02,31328
2018,04,364604
2018,56,28959
2018,05,124074
2018,06,2008211
2018,08,326253
2018,09,170996
2018,10,51898
2018,11,65371
2018,12,1158402
2018,13,543789
2018,15,62088
2018,16,85263
2018,17,646464
2018,18,342698
2018,19,145419
2018,20,138734
2018,21,193200
2018,22,202933
2018,23,56827
2018,24,286124
2018,25,402170
2018,26,486540
2018,27,314997
2018,28,104404
2018,29,298286
2018,30,45188
2018,31,99879
2018,32,166821
2018,33,72001
2018,34,476711
2018,35,73956
2018,36,1035305
2018,37,491533
2018,38,42664
2018,39,575803
2018,40,183187
2018,41,201597
2018,42,608777
2018,44,54402
2018,45,243689
2018,46,36882
2018,47,312261
2018,48,1500815
2018,49,188388
2018,50,27696
2018,51,426095
2018,53,371285
2018,54,69103
2018,55,290322
2019,01,204715
2019,02,30563
2019,04,356117
2019,05,120700
2019,06,2027006
2019,08,328829
2019,09,164869
2019,10,54472
2019,11,55712
2019,12,1077687
2019,13,533263
2019,15,55375
2019,16,78253
2019,17,602904
2019,18,283275
2019,19,143216
2019,20,133880
2019,21,191211
2019,22,204716
2019,23,56582
2019,24,258724
2019,25,369136
2019,26,419651
2019,27,276654
2019,28,103226
2019,29,277004
2019,30,42566
2019,31,92652
2019,32,171344
2019,33,62110
2019,34,462714
2019,35,73566
2019,36,1035597
2019,37,489815
2019,38,37033
2019,39,536145
2019,40,170861
2019,41,195097
2019,42,590332
2019,44,42424
2019,45,235970
2019,46,33820
2019,47,320501
2019,48,1488314
2019,49,173543
2019,50,23905
2019,51,411658
2019,53,347593
2019,54,59068
2019,55,275533
2019,56,23644
2020,01,203807
2020,02,29693
2020,04,328184
2020,56,25216
2020,05,115909
2020,06,2044401
2020,08,330634
2020,09,190679
2020,10,52806
2020,11,66075
2020,12,1156743
2020,13,528084
2020,15,49546
2020,16,82857
2020,17,616368
2020,18,298879
2020,19,136436
2020,20,131554
2020,21,176378
2020,22,188281
2020,23,53025
2020,24,282887
2020,25,360833
2020,26,435265
2020,27,278637
2020,28,98258
2020,29,285024
2020,30,45009
2020,31,94535
2020,32,164068
2020,33,58515
2020,34,445738
2020,35,77142
2020,36,971734
2020,37,456448
2020,38,38516
2020,39,544846
2020,40,172596
2020,41,190343
2020,42,577755
2020,44,48958
2020,45,219369
2020,46,41400
2020,47,336599
2020,48,1486323
2020,49,187598
2020,50,24244
2020,51,408007
2020,53,357630
2020,54,52517
2020,55,269597
2021,01,181806
2021,02,28388
2021,04,360671
2021,28,101338
2021,29,271974
2021,56,24050
2021,05,123658
2021,06,1891703
2021,08,321655
2021,09,141129
2021,10,57478
2021,11,52559
2021,12,1095977
2021,13,536767
2021,15,37918
2021,16,89379
2021,17,567400
2021,18,311061
2021,19,126798
2021,20,147704
2021,21,182537
2021,22,167121
2021,23,59743
2021,24,263659
2021,25,316577
2021,26,393777
2021,27,272184
2021,30,47413
2021,31,91829
2021,32,156267
2021,33,57608
2021,34,408048
2021,35,62757
2021,36,829022
2021,37,491389
2021,38,30026
2021,39,558659
2021,40,159707
2021,41,180074
2021,42,571601
2021,44,37079
2021,45,219292
2021,46,38308
2021,47,350001
2021,48,1355410
2021,49,216650
2021,50,23428
2021,51,403879
2021,53,335743
2021,54,53307
2021,55,266254
2022,01,253994
2022,02,40750
2022,04,496609
2022,56,34208
2022,05,177167
2022,06,2889774
2022,08,435004
2022,09,213187
2022,10,74728
2022,11,95537
2022,12,1524871
2022,13,693711
2022,15,83424
2022,16,113343
2022,17,869493
2022,18,427511
2022,19,181765
2022,20,172251
2022,21,240350
2022,22,237063
2022,23,81713
2022,24,379873
2022,25,537775
2022,26,575395
2022,27,393834
2022,28,123887
2022,29,379256
2022,30,63185
2022,31,136157
2022,32,253017
2022,33,89601
2022,34,626434
2022,35,104408
2022,36,1375697
2022,37,631726
2022,38,48320
2022,39,745356
2022,40,203556
2022,41,277245
2022,42,829522
2022,44,65235
2022,45,296769
2022,46,49981
2022,47,440854
2022,48,1971870
2022,49,249432
2022,50,36814
2022,51,519386
2022,53,474359
2022,54,75120
2022,55,360763
2023,01,223092
2023,02,37232
2023,04,430147
2023,56,30712
2023,05,130755
2023,06,2130913
2023,08,383801
2023,09,206722
2023,10,78521
2023,11,76841
2023,12,1346948
2023,13,608013
2023,15,62301
2023,16,95377
2023,17,716207
2023,18,357969
2023,19,180546
2023,20,157784
2023,21,209367
2023,22,220199
2023,23,68600
2023,24,298589
2023,25,425615
2023,26,511583
2023,27,330201
2023,28,115877
2023,29,339222
2023,30,53883
2023,31,118217
2023,32,200067
2023,33,68575
2023,34,525685
2023,35,82538
2023,36,1171132
2023,37,569576
2023,38,43780
2023,39,648248
2023,40,182150
2023,41,222380
2023,42,679057
2023,44,51150
2023,45,259166
2023,46,49489
2023,47,423105
2023,48,1792537
2023,49,225800
2023,50,27674
2023,51,471983
2023,53,427367
2023,54,67586
2023,55,315849
